PRODUCT_CODE,PRODUCT_VARIANT,PRODUCT_COLOR,Unnamed: 5,Unnamed: 6,PRODUCT_NAME,PRODUCT_TYPE,PRODUCT_PACKING_INFO,PRODUCT_ATTRIBUTES,UTS,MATCHED_FILE_PATH
LUX,1,A3H,00Y0,#PR01#,IMIDENT LUX,AKRILIK TAKIM DIŞ,IMIDENT LUX ACRYLIC TEETH A3/S4 #Akrilik Takım Diş,IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\IMIDENT_LUX.txt
2LC,1,A02,00Y0,#CLA02##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 50 PCS,RENK: A2   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,1,A01,00Y0,#CLA01##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 50 PCS,RENK: A1   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,1,A03,00Y0,#CLA03##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 50 PCS,RENK: A3   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,1,A35,00Y0,#CLA35##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 50 PCS,RENK: A3.5   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,2,A02,00Y0,#CLA02##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 10 PCS,RENK: A2   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,2,A01,00Y0,#CLA01##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 10 PCS,RENK: A1   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,2,A03,00Y0,#CLA03##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 10 PCS,RENK: A3   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,2,A35,00Y0,#CLA35##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 10 PCS,RENK: A3.5   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,3,A02,00Y0,#CLA02##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 200 PCS,RENK: A2   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,3,A01,00Y0,#CLA01##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 200 PCS,RENK: A1   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,3,A03,00Y0,#CLA03##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 200 PCS,RENK: A3   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,3,A35,00Y0,#CLA35##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC KAPSÜL IŞINLI CAM IONOMER DOLGU SİMANI 200 PCS,RENK: A3.5   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,4,A02,00Y0,#CLA02##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC 50 CAPSULE + 5 ML COAT IŞINLI CAM ION DOLGU SİMANI,RENK: A2   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,4,A01,00Y0,#CLA01##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC 50 CAPSULE + 5 ML COAT IŞINLI CAM ION DOLGU SİMANI,RENK: A1   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
2LC,4,A03,00Y0,#CLA03##PR01#,NOVA GLASS II LC,"RADYOPAK, IŞIKLA SERTLEŞEN, REZIN MODIFIYE KAPSÜL CAM İYONOMER DOLGU SIMANI",NOVA GLASS II LC 50 CAPSULE + 5 ML COAT IŞINLI CAM ION DOLGU SİMANI,RENK: A3   IFU: E   ,KAYITLI,C:\Users\orcun\Desktop\codebase\instructions\NOVA_GLASS_LC.txt
